ID_RESERVA	Fecha de ingreso	Fecha salida	medio de pago	Estado de reserva	ID_cliente	ID_Finca
2066	2018-01-26	2018-01-29	efectivo	finalizado	1114	3
2067	2018-02-01	2018-02-03	PSE	finalizado	1001	3
2068	2018-02-07	2018-02-15	tarjeta credito	finalizado	1119	3
2069	2018-02-13	2018-02-21	PSE	finalizado	1007	1
2070	2018-02-19	2018-02-25	efectivo	cancelado	1025	3
2071	2018-02-25	2018-03-03	PSE	cancelado	1199	3
2072	2018-03-03	2018-03-05	tarjeta credito	finalizado	1197	3
2073	2018-03-09	2018-03-11	efectivo	finalizado	1088	2
2074	2018-03-15	2018-03-21	PSE	cancelado	1180	2
2075	2018-03-21	2018-03-26	tarjeta credito	finalizado	1052	1
2076	2018-03-27	2018-04-02	efectivo	finalizado	1052	2
2077	2018-04-02	2018-04-10	PSE	finalizado	1012	3
2078	2018-04-08	2018-04-14	efectivo	finalizado	1064	3
2079	2018-04-14	2018-04-17	PSE	finalizado	1122	3
2080	2018-04-20	2018-04-26	tarjeta credito	finalizado	1057	2
2081	2018-04-26	2018-04-30	PSE	finalizado	1020	3
2082	2018-05-02	2018-05-07	efectivo	finalizado	1112	4
2083	2018-05-08	2018-05-10	PSE	finalizado	1062	3
2084	2018-05-14	2018-05-18	tarjeta credito	finalizado	1056	4
2085	2018-05-20	2018-05-24	efectivo	finalizado	1052	4
2086	2018-05-26	2018-05-28	tarjeta credito	cancelado	1034	2
2087	2018-06-01	2018-06-09	efectivo	finalizado	1182	4
2088	2018-06-07	2018-06-12	efectivo	finalizado	1053	4
2089	2018-06-13	2018-06-21	efectivo	finalizado	1028	1
2090	2018-06-19	2018-06-23	PSE	finalizado	1087	1
2091	2018-06-25	2018-07-02	tarjeta credito	finalizado	1171	2
2092	2018-07-01	2018-07-03	efectivo	finalizado	1053	4
2093	2018-07-07	2018-07-15	efectivo	finalizado	1010	1
2094	2018-07-13	2018-07-16	PSE	finalizado	1055	3
2095	2018-07-19	2018-07-21	tarjeta credito	cancelado	1001	4
2096	2018-07-25	2018-07-26	PSE	cancelado	1133	1
2097	2018-07-31	2018-08-07	tarjeta credito	finalizado	1148	4
2098	2018-08-06	2018-08-12	tarjeta credito	finalizado	1071	2
2099	2018-08-12	2018-08-14	PSE	cancelado	1114	4
2100	2018-08-18	2018-08-19	tarjeta credito	finalizado	1122	4
2101	2018-08-24	2018-08-29	efectivo	finalizado	1137	1
2102	2018-08-30	2018-09-03	efectivo	cancelado	1037	4
2103	2018-09-05	2018-09-13	efectivo	finalizado	1075	1
2104	2018-09-11	2018-09-15	tarjeta credito	finalizado	1025	3
2105	2018-09-17	2018-09-19	PSE	finalizado	1193	1
2106	2018-09-23	2018-09-25	PSE	cancelado	1171	2
2107	2018-09-29	2018-09-30	PSE	finalizado	1116	2
2108	2018-10-05	2018-10-06	PSE	finalizado	1080	4
2109	2018-10-11	2018-10-18	tarjeta credito	finalizado	1178	3
2110	2018-10-17	2018-10-21	tarjeta credito	finalizado	1037	1
2111	2018-10-23	2018-10-30	PSE	finalizado	1123	4
2112	2018-10-29	2018-11-02	tarjeta credito	finalizado	1052	4
2113	2018-11-04	2018-11-05	tarjeta credito	finalizado	1140	1
2114	2018-11-10	2018-11-18	efectivo	finalizado	1097	2
2115	2018-11-16	2018-11-22	efectivo	finalizado	1175	3
2116	2018-11-22	2018-11-23	efectivo	finalizado	1163	1
2117	2018-11-28	2018-12-05	efectivo	finalizado	1110	3
2118	2018-12-04	2018-12-10	PSE	finalizado	1198	3
2119	2018-12-10	2018-12-16	tarjeta credito	finalizado	1160	2
2120	2018-12-16	2018-12-18	efectivo	finalizado	1141	1
2121	2018-12-22	2018-12-30	tarjeta credito	finalizado	1111	2
2122	2018-12-28	2019-01-02	PSE	finalizado	1167	2
2123	2019-01-03	2019-01-08	efectivo	finalizado	1164	3
2124	2019-01-09	2019-01-14	PSE	finalizado	1120	4
2125	2019-01-15	2019-01-22	tarjeta credito	finalizado	1167	4
2126	2019-01-21	2019-01-29	PSE	finalizado	1099	2
2127	2019-01-27	2019-01-30	efectivo	finalizado	1023	3
2128	2019-02-02	2019-02-03	PSE	finalizado	1180	4
2129	2019-02-08	2019-02-13	PSE	finalizado	1099	3
2130	2019-02-14	2019-02-19	efectivo	finalizado	1179	1
2131	2019-02-20	2019-02-26	tarjeta credito	finalizado	1081	1
2132	2019-02-26	2019-03-02	PSE	finalizado	1075	4
2133	2019-03-04	2019-03-11	efectivo	finalizado	1076	4
2134	2019-03-10	2019-03-14	efectivo	cancelado	1010	2
2135	2019-03-16	2019-03-24	tarjeta credito	finalizado	1077	2
2136	2019-03-22	2019-03-25	tarjeta credito	finalizado	1111	1
2137	2019-03-28	2019-04-05	tarjeta credito	finalizado	1089	4
2138	2019-04-03	2019-04-06	efectivo	finalizado	1043	2
2139	2019-04-09	2019-04-10	PSE	finalizado	1138	1
2140	2019-04-15	2019-04-16	tarjeta credito	finalizado	1068	2
2141	2019-04-21	2019-04-25	efectivo	finalizado	1047	3
2142	2019-04-27	2019-05-05	efectivo	finalizado	1108	3
2143	2019-05-03	2019-05-09	efectivo	finalizado	1161	4
2144	2019-05-09	2019-05-11	efectivo	finalizado	1011	4
2145	2019-05-15	2019-05-21	PSE	finalizado	1042	1
2146	2019-05-21	2019-05-26	PSE	finalizado	1035	4
2147	2019-05-27	2019-05-29	efectivo	finalizado	1096	2
2148	2019-06-02	2019-06-03	efectivo	finalizado	1010	2
2149	2019-06-08	2019-06-12	efectivo	finalizado	1019	1
2150	2019-06-14	2019-06-15	efectivo	finalizado	1086	4
2151	2019-06-20	2019-06-24	efectivo	cancelado	1081	3
2152	2019-06-26	2019-07-02	PSE	finalizado	1104	2
2153	2019-07-02	2019-07-07	PSE	finalizado	1093	2
2154	2019-07-08	2019-07-10	PSE	finalizado	1077	3
2155	2019-07-14	2019-07-18	efectivo	finalizado	1048	4
2156	2019-07-20	2019-07-23	PSE	finalizado	1031	2
2157	2019-07-26	2019-08-03	efectivo	finalizado	1042	2
2158	2019-08-01	2019-08-03	tarjeta credito	finalizado	1145	4
2159	2019-08-07	2019-08-11	tarjeta credito	finalizado	1154	3
2160	2019-08-13	2019-08-18	PSE	finalizado	1007	3
2161	2019-08-19	2019-08-24	efectivo	finalizado	1089	1
2162	2019-08-25	2019-08-28	PSE	finalizado	1137	3
2163	2019-08-31	2019-09-05	PSE	cancelado	1066	1
2164	2019-09-06	2019-09-08	PSE	finalizado	1084	4
2165	2019-09-12	2019-09-20	PSE	finalizado	1144	4
2166	2019-09-18	2019-09-23	PSE	cancelado	1137	4
2167	2019-09-24	2019-09-25	tarjeta credito	finalizado	1184	4
2168	2019-09-30	2019-10-03	efectivo	cancelado	1078	1
2169	2019-10-06	2019-10-13	efectivo	finalizado	1053	3
2170	2019-10-12	2019-10-20	tarjeta credito	finalizado	1003	4
2171	2019-10-18	2019-10-20	tarjeta credito	finalizado	1061	1
2172	2019-10-24	2019-10-26	efectivo	finalizado	1054	1
2173	2019-10-30	2019-11-01	tarjeta credito	finalizado	1100	1
2174	2019-11-05	2019-11-11	efectivo	finalizado	1084	4
2175	2019-11-11	2019-11-13	PSE	finalizado	1184	3
2176	2019-11-17	2019-11-23	tarjeta credito	finalizado	1045	3
2177	2019-11-23	2019-11-25	PSE	finalizado	1120	1
2178	2019-11-29	2019-12-06	PSE	finalizado	1059	2
2179	2019-12-05	2019-12-06	efectivo	finalizado	1182	4
2180	2019-12-11	2019-12-14	PSE	finalizado	1086	2
2181	2019-12-17	2019-12-22	tarjeta credito	finalizado	1036	2
2182	2019-12-23	2019-12-24	tarjeta credito	finalizado	1142	4
2183	2019-12-29	2020-01-02	PSE	finalizado	1097	3
2184	2020-01-04	2020-01-05	efectivo	finalizado	1062	4
2185	2020-01-10	2020-01-11	PSE	finalizado	1123	2
2186	2020-01-16	2020-01-23	tarjeta credito	finalizado	1157	4
2187	2020-01-22	2020-01-29	efectivo	finalizado	1166	3
2188	2020-01-28	2020-02-05	efectivo	finalizado	1104	4
2189	2020-02-03	2020-02-05	PSE	finalizado	1104	1
2190	2020-02-09	2020-02-17	tarjeta credito	finalizado	1140	3
2191	2020-02-15	2020-02-16	tarjeta credito	cancelado	1068	1
2192	2020-02-21	2020-02-26	efectivo	finalizado	1159	3
2193	2020-02-27	2020-02-28	PSE	finalizado	1142	1
2194	2020-03-04	2020-03-10	PSE	finalizado	1017	1
2195	2020-03-10	2020-03-11	PSE	finalizado	1196	4
2196	2020-03-16	2020-03-17	efectivo	finalizado	1178	2
2197	2020-03-22	2020-03-30	PSE	finalizado	1150	2
2198	2020-03-28	2020-03-29	efectivo	finalizado	1181	3
2199	2020-04-03	2020-04-07	tarjeta credito	finalizado	1160	3
2200	2020-04-09	2020-04-15	tarjeta credito	finalizado	1067	3
2201	2020-04-15	2020-04-23	PSE	finalizado	1112	2
2202	2020-04-21	2020-04-24	PSE	finalizado	1106	3
2203	2020-04-27	2020-05-01	tarjeta credito	finalizado	1073	3
2204	2020-05-03	2020-05-06	efectivo	finalizado	1137	3
2205	2020-05-09	2020-05-13	efectivo	finalizado	1095	3
2206	2020-05-15	2020-05-23	efectivo	finalizado	1162	2
2207	2020-05-21	2020-05-27	efectivo	finalizado	1179	1
2208	2020-05-27	2020-05-28	PSE	finalizado	1144	1
2209	2020-06-02	2020-06-07	tarjeta credito	finalizado	1094	4
2210	2020-06-08	2020-06-12	efectivo	finalizado	1007	3
2211	2020-06-14	2020-06-18	tarjeta credito	finalizado	1130	4
2212	2020-06-20	2020-06-25	efectivo	finalizado	1005	3
2213	2020-06-26	2020-07-03	efectivo	finalizado	1032	4
2214	2020-07-02	2020-07-08	tarjeta credito	finalizado	1059	1
2215	2020-07-08	2020-07-13	tarjeta credito	cancelado	1161	2
2216	2020-07-14	2020-07-21	efectivo	finalizado	1142	2
2217	2020-07-20	2020-07-24	PSE	finalizado	1159	4
2218	2020-07-26	2020-07-29	tarjeta credito	finalizado	1150	3
2219	2020-08-01	2020-08-08	efectivo	finalizado	1147	3
2220	2020-08-07	2020-08-12	PSE	finalizado	1116	4
2221	2020-08-13	2020-08-21	PSE	finalizado	1071	2
2222	2020-08-19	2020-08-20	PSE	finalizado	1086	4
2223	2020-08-25	2020-08-30	PSE	cancelado	1183	1
2224	2020-08-31	2020-09-04	tarjeta credito	finalizado	1049	1
2225	2020-09-06	2020-09-13	efectivo	finalizado	1040	1
2226	2020-09-12	2020-09-14	efectivo	finalizado	1188	3
2227	2020-09-18	2020-09-20	tarjeta credito	finalizado	1187	3
2228	2020-09-24	2020-10-01	tarjeta credito	finalizado	1011	1
2229	2020-09-30	2020-10-02	efectivo	finalizado	1125	4
2230	2020-10-06	2020-10-07	PSE	finalizado	1053	3
2231	2020-10-12	2020-10-15	PSE	finalizado	1040	1
2232	2020-10-18	2020-10-25	tarjeta credito	finalizado	1072	2
2233	2020-10-24	2020-10-27	tarjeta credito	finalizado	1094	4
2234	2020-10-30	2020-10-31	PSE	finalizado	1161	3
2235	2020-11-05	2020-11-11	tarjeta credito	finalizado	1095	2
2236	2020-11-11	2020-11-15	tarjeta credito	finalizado	1029	4
2237	2020-11-17	2020-11-23	efectivo	finalizado	1162	3
2238	2020-11-23	2020-11-29	efectivo	cancelado	1051	2
2239	2020-11-29	2020-11-30	efectivo	finalizado	1101	4
2240	2020-12-05	2020-12-12	PSE	finalizado	1183	4
2241	2020-12-11	2020-12-13	PSE	finalizado	1051	4
2242	2020-12-17	2020-12-18	PSE	finalizado	1061	4
2243	2020-12-23	2020-12-30	efectivo	finalizado	1043	3
2244	2020-12-29	2020-12-30	PSE	finalizado	1001	3
2245	2021-01-04	2021-01-05	efectivo	finalizado	1066	4
2246	2021-01-10	2021-01-18	PSE	finalizado	1056	1
2247	2021-01-16	2021-01-21	efectivo	finalizado	1195	2
2248	2021-01-22	2021-01-28	tarjeta credito	finalizado	1154	3
2249	2021-01-28	2021-01-31	tarjeta credito	finalizado	1077	1
2250	2021-02-03	2021-02-07	tarjeta credito	finalizado	1189	2
2251	2021-02-09	2021-02-15	PSE	finalizado	1174	3
2252	2021-02-15	2021-02-19	tarjeta credito	finalizado	1130	4
2253	2021-02-21	2021-03-01	tarjeta credito	finalizado	1187	4
2254	2021-02-27	2021-03-06	efectivo	cancelado	1155	4
2255	2021-03-05	2021-03-06	efectivo	finalizado	1056	4
2256	2021-03-11	2021-03-14	PSE	finalizado	1197	2
2257	2021-03-17	2021-03-24	tarjeta credito	finalizado	1160	2
2258	2021-03-23	2021-03-26	PSE	finalizado	1145	2
2259	2021-03-29	2021-04-06	PSE	finalizado	1030	2
2260	2021-04-04	2021-04-09	tarjeta credito	finalizado	1023	2
2261	2021-04-10	2021-04-12	tarjeta credito	finalizado	1082	3
2262	2021-04-16	2021-04-19	PSE	finalizado	1160	3
2263	2021-04-22	2021-04-24	tarjeta credito	finalizado	1073	1
2264	2021-04-28	2021-04-30	tarjeta credito	finalizado	1085	4
2265	2021-05-04	2021-05-06	PSE	finalizado	1137	1
2266	2021-05-10	2021-05-14	tarjeta credito	finalizado	1184	2
2267	2021-05-16	2021-05-24	PSE	finalizado	1090	3
2268	2021-05-22	2021-05-24	PSE	finalizado	1081	3
2269	2021-05-28	2021-05-30	tarjeta credito	finalizado	1097	4
2270	2021-06-03	2021-06-10	PSE	finalizado	1151	1
2271	2021-06-09	2021-06-15	efectivo	finalizado	1028	4
2272	2021-06-15	2021-06-19	PSE	finalizado	1141	1
2273	2021-06-21	2021-06-27	PSE	cancelado	1074	2
2274	2021-06-27	2021-06-29	efectivo	finalizado	1125	1
2275	2021-07-03	2021-07-04	tarjeta credito	finalizado	1057	3
2276	2021-07-09	2021-07-16	efectivo	finalizado	1021	3
2277	2021-07-15	2021-07-17	PSE	cancelado	1164	4
2278	2021-07-21	2021-07-27	tarjeta credito	cancelado	1148	1
2279	2021-07-27	2021-08-01	PSE	finalizado	1111	2
2280	2021-08-02	2021-08-09	efectivo	finalizado	1134	3
2281	2021-08-08	2021-08-11	efectivo	finalizado	1171	1
2282	2021-08-14	2021-08-22	tarjeta credito	finalizado	1094	4
2283	2021-08-20	2021-08-21	efectivo	cancelado	1170	2
2284	2021-08-26	2021-08-28	efectivo	finalizado	1062	1
2285	2021-09-01	2021-09-08	tarjeta credito	finalizado	1010	4
2286	2021-09-07	2021-09-14	PSE	finalizado	1143	2
2287	2021-09-13	2021-09-20	efectivo	finalizado	1157	3
2288	2021-09-19	2021-09-26	efectivo	finalizado	1184	4
2289	2021-09-25	2021-09-28	PSE	finalizado	1049	4
2290	2021-10-01	2021-10-07	efectivo	finalizado	1081	4
2291	2021-10-07	2021-10-09	PSE	finalizado	1079	1
2292	2021-10-13	2021-10-17	PSE	finalizado	1118	4
2293	2021-10-19	2021-10-25	PSE	finalizado	1102	2
2294	2021-10-25	2021-11-01	efectivo	finalizado	1095	2
2295	2021-10-31	2021-11-05	PSE	finalizado	1065	1
2296	2021-11-06	2021-11-11	PSE	finalizado	1097	1
2297	2021-11-12	2021-11-20	tarjeta credito	finalizado	1022	3
2298	2021-11-18	2021-11-22	tarjeta credito	finalizado	1180	2
2299	2021-11-24	2021-11-27	tarjeta credito	finalizado	1111	3
2300	2021-11-30	2021-12-04	efectivo	finalizado	1028	4
2301	2021-12-06	2021-12-10	PSE	finalizado	1162	4
2302	2021-12-12	2021-12-13	PSE	cancelado	1073	4
2303	2021-12-18	2021-12-19	PSE	finalizado	1158	4
2304	2021-12-24	2022-01-01	PSE	finalizado	1186	2
2305	2021-12-30	2022-01-04	PSE	finalizado	1200	2
2306	2022-01-05	2022-01-12	efectivo	finalizado	1071	3
2307	2022-01-11	2022-01-19	tarjeta credito	finalizado	1071	3
2308	2022-01-17	2022-01-25	tarjeta credito	finalizado	1090	1
2309	2022-01-23	2022-01-27	PSE	finalizado	1074	4
2310	2022-01-29	2022-01-30	efectivo	finalizado	1113	2
2311	2022-02-04	2022-02-07	efectivo	finalizado	1117	1
2312	2022-02-10	2022-02-14	efectivo	finalizado	1145	2
2313	2022-02-16	2022-02-20	efectivo	finalizado	1168	4
2314	2022-02-22	2022-02-25	PSE	finalizado	1097	2
2315	2022-02-28	2022-03-02	PSE	finalizado	1182	4
2316	2022-03-06	2022-03-12	PSE	finalizado	1097	3
2317	2022-03-12	2022-03-14	efectivo	finalizado	1026	2
2318	2022-03-18	2022-03-25	tarjeta credito	finalizado	1049	2
2319	2022-03-24	2022-04-01	tarjeta credito	finalizado	1092	2
2320	2022-03-30	2022-04-03	efectivo	finalizado	1070	2
2321	2022-04-05	2022-04-08	PSE	finalizado	1155	4
2322	2022-04-11	2022-04-17	PSE	finalizado	1148	2
2323	2022-04-17	2022-04-22	PSE	finalizado	1025	4
2324	2022-04-23	2022-04-28	efectivo	cancelado	1071	1
2325	2022-04-29	2022-05-03	tarjeta credito	finalizado	1200	3
2326	2022-05-05	2022-05-07	PSE	finalizado	1122	1
2327	2022-05-11	2022-05-19	tarjeta credito	finalizado	1082	1
2328	2022-05-17	2022-05-20	efectivo	finalizado	1169	2
2329	2022-05-23	2022-05-28	efectivo	finalizado	1035	2
2330	2022-05-29	2022-06-02	tarjeta credito	finalizado	1200	3
2331	2022-06-04	2022-06-10	PSE	cancelado	1149	2
2332	2022-06-10	2022-06-11	efectivo	finalizado	1081	2
2333	2022-06-16	2022-06-23	tarjeta credito	finalizado	1099	1
2334	2022-06-22	2022-06-30	tarjeta credito	finalizado	1074	1
2335	2022-06-28	2022-07-01	PSE	cancelado	1124	4
2336	2022-07-04	2022-07-08	efectivo	finalizado	1195	1
2337	2022-07-10	2022-07-16	tarjeta credito	finalizado	1084	4
2338	2022-07-16	2022-07-22	PSE	finalizado	1065	2
2339	2022-07-22	2022-07-27	efectivo	finalizado	1061	2
2340	2022-07-28	2022-07-29	PSE	finalizado	1022	3
2341	2022-08-03	2022-08-05	efectivo	finalizado	1179	1
2342	2022-08-09	2022-08-14	efectivo	finalizado	1163	2
2343	2022-08-15	2022-08-19	PSE	finalizado	1022	2
2344	2022-08-21	2022-08-27	PSE	finalizado	1179	4
2345	2022-08-27	2022-08-29	efectivo	finalizado	1071	2
2346	2022-09-02	2022-09-03	tarjeta credito	finalizado	1049	2
2347	2022-09-08	2022-09-12	tarjeta credito	finalizado	1155	2
2348	2022-09-14	2022-09-15	tarjeta credito	finalizado	1040	2
2349	2022-09-20	2022-09-24	PSE	finalizado	1071	4
2350	2022-09-26	2022-09-27	tarjeta credito	finalizado	1178	3
2351	2022-10-02	2022-10-03	efectivo	finalizado	1097	3
2352	2022-10-08	2022-10-10	efectivo	finalizado	1174	1
2353	2022-10-14	2022-10-20	tarjeta credito	finalizado	1028	4
2354	2022-10-20	2022-10-25	PSE	finalizado	1157	4
2355	2022-10-26	2022-10-30	tarjeta credito	finalizado	1154	1
2356	2022-11-01	2022-11-04	PSE	finalizado	1051	1
2357	2022-11-07	2022-11-11	tarjeta credito	finalizado	1017	3
2358	2022-11-13	2022-11-15	efectivo	finalizado	1154	3
2359	2022-11-19	2022-11-22	PSE	finalizado	1071	2
2360	2022-11-25	2022-11-28	tarjeta credito	cancelado	1087	1
2361	2022-12-01	2022-12-09	PSE	finalizado	1030	1
2362	2022-12-07	2022-12-15	PSE	finalizado	1076	1
2363	2022-12-13	2022-12-20	PSE	finalizado	1020	4
2364	2022-12-19	2022-12-22	tarjeta credito	finalizado	1004	3
2365	2022-12-25	2022-12-28	tarjeta credito	finalizado	1045	3
2366	2022-12-31	2023-01-04	PSE	finalizado	1046	2
2367	2023-01-06	2023-01-07	tarjeta credito	finalizado	1077	3
2368	2023-01-12	2023-01-13	tarjeta credito	cancelado	1114	2
2369	2023-01-18	2023-01-20	efectivo	finalizado	1191	3
2370	2023-01-24	2023-02-01	efectivo	finalizado	1172	2
2371	2023-01-30	2023-02-03	efectivo	finalizado	1185	1
2372	2023-02-05	2023-02-10	PSE	finalizado	1011	2
2373	2023-02-11	2023-02-12	tarjeta credito	finalizado	1129	3
2374	2023-02-17	2023-02-20	tarjeta credito	finalizado	1124	2
2375	2023-02-23	2023-02-28	tarjeta credito	cancelado	1164	1
2376	2023-03-01	2023-03-03	PSE	finalizado	1111	2
2377	2023-03-07	2023-03-11	efectivo	finalizado	1075	2
2378	2023-03-13	2023-03-16	efectivo	finalizado	1199	3
2379	2023-03-19	2023-03-20	PSE	finalizado	1072	3
2380	2023-03-25	2023-03-31	tarjeta credito	finalizado	1180	3
2381	2023-03-31	2023-04-01	tarjeta credito	finalizado	1151	4
2382	2023-04-06	2023-04-10	PSE	finalizado	1129	3
2383	2023-04-12	2023-04-17	PSE	finalizado	1122	3
2384	2023-04-18	2023-04-19	efectivo	finalizado	1018	4
2385	2023-04-24	2023-05-01	efectivo	finalizado	1161	4
2386	2023-04-30	2023-05-04	tarjeta credito	finalizado	1105	2
2387	2023-05-06	2023-05-13	efectivo	cancelado	1187	3
2388	2023-05-12	2023-05-19	efectivo	finalizado	1103	2
2389	2023-05-18	2023-05-23	tarjeta credito	finalizado	1174	3
2390	2023-05-24	2023-05-31	tarjeta credito	finalizado	1193	4
2391	2023-05-30	2023-06-05	tarjeta credito	cancelado	1183	2
2392	2023-06-05	2023-06-12	tarjeta credito	finalizado	1134	4
2393	2023-06-11	2023-06-14	PSE	finalizado	1077	3
2394	2023-06-17	2023-06-23	tarjeta credito	finalizado	1139	3
2395	2023-06-23	2023-06-30	efectivo	finalizado	1115	2
2396	2023-06-29	2023-07-05	efectivo	finalizado	1056	1
2397	2023-07-05	2023-07-09	PSE	finalizado	1060	1
2398	2023-07-11	2023-07-18	efectivo	finalizado	1084	1
2399	2023-07-17	2023-07-21	PSE	finalizado	1078	2
2400	2023-07-23	2023-07-25	tarjeta credito	finalizado	1156	4
2401	2023-07-29	2023-08-01	PSE	finalizado	1069	3
2402	2023-08-04	2023-08-12	tarjeta credito	finalizado	1127	2
2403	2023-08-10	2023-08-12	efectivo	finalizado	1160	3
2404	2023-08-16	2023-08-22	PSE	finalizado	1111	4
2405	2023-08-22	2023-08-25	efectivo	finalizado	1046	2
2406	2023-08-28	2023-08-31	PSE	finalizado	1146	4
2407	2023-09-03	2023-09-08	PSE	finalizado	1054	3
2408	2023-09-09	2023-09-11	PSE	finalizado	1080	4
2409	2023-09-15	2023-09-20	PSE	finalizado	1182	4
2410	2023-09-21	2023-09-25	PSE	finalizado	1153	4
2411	2023-09-27	2023-10-02	tarjeta credito	cancelado	1032	4
2412	2023-10-03	2023-10-10	tarjeta credito	finalizado	1025	3
2413	2023-10-09	2023-10-13	PSE	finalizado	1065	4
2414	2023-10-15	2023-10-21	tarjeta credito	finalizado	1003	1
2415	2023-10-21	2023-10-26	efectivo	finalizado	1059	4
2416	2023-10-27	2023-11-03	efectivo	finalizado	1133	4
2417	2023-11-02	2023-11-07	tarjeta credito	finalizado	1008	3
2418	2023-11-08	2023-11-11	PSE	finalizado	1077	1
2419	2023-11-14	2023-11-17	tarjeta credito	finalizado	1018	1
2420	2023-11-20	2023-11-22	tarjeta credito	finalizado	1154	2
2421	2023-11-26	2023-12-04	tarjeta credito	finalizado	1177	3
2422	2023-12-02	2023-12-06	PSE	finalizado	1084	3
2423	2023-12-08	2023-12-11	PSE	cancelado	1130	3
2424	2023-12-14	2023-12-16	efectivo	finalizado	1164	1
2425	2023-12-20	2023-12-26	efectivo	finalizado	1178	3
2426	2023-12-26	2024-01-03	PSE	finalizado	1188	2
